CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Number of items bought ,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
157,Male,37,78,1,78,279-74-2924,B,Mandalay,Member,Electronic accessories,72.17,1,3.6085,75.7785,1/4/2019,19:40,Cash,72.17,4.761904762,3.6085,6.1
158,Female,30,78,78,78,307-85-2293,B,Mandalay,Normal,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,251.4,4.761904762,12.57,9.7
159,Male,34,78,1,78,743-04-1105,B,Mandalay,Member,Health and beauty,97.22,9,43.749,918.729,3/30/2019,14:43,Ewallet,874.98,4.761904762,43.749,6
160,Female,30,78,73,78,423-57-2993,B,Mandalay,Normal,Sports and travel,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,560.34,4.761904762,28.017,10
161,Female,56,79,35,79,894-41-5205,C,Naypyitaw,Normal,Food and beverages,43.18,8,17.272,362.712,1/19/2019,19:39,Credit card,345.44,4.761904762,17.272,8.3
162,Female,29,79,83,79,275-28-0149,A,Yangon,Normal,Sports and travel,63.69,1,3.1845,66.8745,2/25/2019,16:21,Cash,63.69,4.761904762,3.1845,6
163,Male,19,81,5,81,101-17-6199,A,Yangon,Normal,Food and beverages,45.79,7,16.0265,336.5565,3/13/2019,19:44,Credit card,320.53,4.761904762,16.0265,7
164,Female,31,81,93,81,423-80-0988,C,Naypyitaw,Normal,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,152.8,4.761904762,7.64,6.5
165,Male,50,85,26,85,548-46-9322,B,Mandalay,Normal,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,399,4.761904762,19.95,5.9
166,Female,36,85,75,85,505-02-0892,B,Mandalay,Member,Health and beauty,42.57,8,17.028,357.588,2/25/2019,14:12,Ewallet,340.56,4.761904762,17.028,5.6
167,Male,42,86,20,86,234-65-2137,C,Naypyitaw,Normal,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,955.8,4.761904762,47.79,4.8
168,Female,33,86,95,86,687-47-8271,A,Yangon,Normal,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7
169,Female,36,87,27,87,796-32-9050,A,Yangon,Normal,Food and beverages,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,307.68,4.761904762,15.384,6.5
170,Male,32,87,63,87,105-31-1824,A,Yangon,Member,Sports and travel,69.52,7,24.332,510.972,2/1/2019,15:10,Credit card,486.64,4.761904762,24.332,8.5
171,Male,40,87,13,87,249-42-3782,A,Yangon,Normal,Health and beauty,70.01,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5
172,Male,28,87,75,87,316-55-4634,B,Mandalay,Member,Food and beverages,80.05,5,20.0125,420.2625,1/26/2019,12:45,Credit card,400.25,4.761904762,20.0125,9.4
173,Male,36,87,10,87,733-33-4967,C,Naypyitaw,Normal,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,19:17,Cash,166.8,4.761904762,8.34,6.3
174,Male,36,87,92,87,608-27-6295,B,Mandalay,Member,Electronic accessories,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,317.34,4.761904762,15.867,9.8
175,Female,52,88,13,88,414-12-7047,B,Mandalay,Normal,Food and beverages,19.79,8,7.916,166.236,1/18/2019,12:04,Ewallet,158.32,4.761904762,7.916,8.7
176,Female,30,88,86,88,827-26-2100,A,Yangon,Member,Home and lifestyle,33.84,9,15.228,319.788,3/21/2019,16:21,Ewallet,304.56,4.761904762,15.228,8.8
177,Male,58,88,15,88,175-54-2529,A,Yangon,Member,Food and beverages,22.17,8,8.868,186.228,3/3/2019,17:01,Credit card,177.36,4.761904762,8.868,9.6
178,Male,27,88,69,88,139-52-2867,C,Naypyitaw,Normal,Fashion accessories,22.51,7,7.8785,165.4485,2/13/2019,10:50,Credit card,157.57,4.761904762,7.8785,4.8
179,Male,59,93,14,93,407-63-8975,A,Yangon,Normal,Food and beverages,73.88,6,22.164,465.444,3/23/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4
180,Male,35,93,90,93,342-65-4817,C,Naypyitaw,Member,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,260.4,4.761904762,13.02,9.9
181,Female,37,97,32,97,130-98-8941,C,Naypyitaw,Normal,Fashion accessories,64.26,7,22.491,472.311,2/9/2019,10:00,Cash,449.82,4.761904762,22.491,5.7
182,Female,32,97,86,97,434-83-9547,C,Naypyitaw,Member,Food and beverages,38.47,8,15.388,323.148,1/23/2019,11:51,Cash,307.76,4.761904762,15.388,7.7
183,Male,46,98,15,98,851-28-6367,A,Yangon,Member,Sports and travel,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,155,4.761904762,7.75,8
184,Female,29,98,88,98,824-88-3614,C,Naypyitaw,Normal,Health and beauty,34.31,8,13.724,288.204,1/25/2019,15:00,Ewallet,274.48,4.761904762,13.724,5.7
185,Female,41,99,39,99,586-25-0848,A,Yangon,Normal,Sports and travel,12.34,7,4.319,90.699,3/4/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7
186,Male,30,99,97,99,895-66-0685,B,Mandalay,Member,Food and beverages,18.08,3,2.712,56.952,3/5/2019,19:46,Ewallet,54.24,4.761904762,2.712,8
187,Female,54,101,24,101,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,37.796,793.716,3/3/2019,19:00,Ewallet,755.92,4.761904762,37.796,7.5
188,Male,28,101,68,101,732-04-5373,B,Mandalay,Member,Home and lifestyle,46.47,4,9.294,195.174,2/8/2019,10:53,Cash,185.88,4.761904762,9.294,7
189,Female,41,103,17,103,400-60-7251,A,Yangon,Normal,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,74.07,4.761904762,3.7035,9.9
190,Female,36,103,85,103,593-65-1552,C,Naypyitaw,Normal,Home and lifestyle,69.81,4,13.962,293.202,1/28/2019,20:50,Credit card,279.24,4.761904762,13.962,5.9
191,Female,34,103,23,103,284-34-9626,B,Mandalay,Normal,Home and lifestyle,77.04,3,11.556,242.676,2/11/2019,10:39,Credit card,231.12,4.761904762,11.556,7.2
192,Female,32,103,69,103,437-58-8131,B,Mandalay,Normal,Fashion accessories,73.52,2,7.352,154.392,1/15/2019,13:41,Ewallet,147.04,4.761904762,7.352,4.6
193,Male,33,113,8,113,286-43-6208,C,Naypyitaw,Normal,Food and beverages,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,790.2,4.761904762,39.51,9.2
194,Female,38,113,91,113,641-43-2399,B,Mandalay,Normal,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23,Ewallet,102.2,4.761904762,5.11,5.7
195,Female,47,120,16,120,831-07-6050,A,Yangon,Normal,Electronic accessories,32.71,5,8.1775,171.7275,3/19/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9
196,Female,35,120,79,120,556-86-3144,C,Naypyitaw,Member,Fashion accessories,74.29,1,3.7145,78.0045,1/13/2019,19:30,Cash,74.29,4.761904762,3.7145,5
197,Female,45,126,28,126,848-24-9445,C,Naypyitaw,Member,Health and beauty,43.7,2,4.37,91.77,3/26/2019,18:03,Cash,87.4,4.761904762,4.37,4.9
198,Male,32,126,74,126,856-22-8149,A,Yangon,Normal,Home and lifestyle,25.29,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1
199,Male,32,137,18,137,699-01-4164,C,Naypyitaw,Normal,Health and beauty,41.5,4,8.3,174.3,3/12/2019,19:58,Credit card,166,4.761904762,8.3,8.2
200,Male,30,137,83,137,305-14-0245,B,Mandalay,Member,Home and lifestyle,94.49,8,37.796,793.716,3/3/2019,19:00,Ewallet,755.92,4.761904762,37.796,7.5
